GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
4335,9.37E-39,1.64E-39,0.199,13.15299,2.620038,484.77,MNT,MAX network transcriptional repressor
84790,9.50E-39,1.66E-39,0.237,13.15198,3.113496,203.72,TUBA1C,tubulin alpha 1c
128346,9.70E-39,1.69E-39,0.209,13.15035,2.752898,244.94,C1orf162,chromosome 1 open reading frame 162
84572,9.76E-39,1.70E-39,0.243,13.14988,3.200421,164.73,GNPTG,N-acetylglucosamine-1-phosphate transferase subunit gamma
253782,1.02E-38,1.78E-39,0.201,13.14675,2.643452,267.02,CERS6,ceramide synthase 6
107080644,1.03E-38,1.80E-39,0.37,13.14583,4.862238,103.88,CNPY3-GNMT,CNPY3-GNMT readthrough
23431,1.10E-38,1.91E-39,0.224,13.14112,2.946908,245.04,AP4E1,adaptor related protein complex 4 subunit epsilon 1
79772,1.11E-38,1.94E-39,0.296,13.14021,3.885717,478.3,MCTP1,multiple C2 and transmembrane domain containing 1
10561,1.11E-38,1.95E-39,0.335,13.13987,4.408137,406.97,IFI44,interferon induced protein 44
101929693,1.13E-38,1.98E-39,0.322,13.13844,4.234567,131.06,RARA-AS1,RARA antisense RNA 1
256364,1.15E-38,2.02E-39,0.208,13.13715,2.735768,342.01,EML3,EMAP like 3
57713,1.24E-38,2.17E-39,0.185,13.13148,2.432586,385.38,SFMBT2,Scm like with four mbt domains 2
83448,1.31E-38,2.29E-39,0.206,13.12768,2.707499,385.44,PUS7L,pseudouridine synthase 7 like
117177,1.32E-38,2.31E-39,0.23,13.12701,3.018102,483.39,RAB3IP,RAB3A interacting protein
11284,1.34E-38,2.35E-39,0.25,13.12564,3.280238,212.78,PNKP,polynucleotide kinase 3'-phosphatase
8548,1.36E-38,2.38E-39,0.248,13.1245,3.248629,187.69,BLZF1,basic leucine zipper nuclear factor 1
23408,1.43E-38,2.51E-39,0.246,13.12072,3.22278,390.51,SIRT5,sirtuin 5
80321,1.44E-38,2.52E-39,0.261,13.12013,3.429739,314.84,CEP70,centrosomal protein 70
5201,1.45E-38,2.54E-39,0.269,13.1196,3.531669,128.2,PFDN1,prefoldin subunit 1
8558,1.47E-38,2.58E-39,0.225,13.11859,2.947138,210.52,CDK10,cyclin dependent kinase 10
105376033,1.48E-38,2.60E-39,0.324,13.11802,4.2462,130.45,LOC105376033,uncharacterized LOC105376033
54606,1.55E-38,2.71E-39,0.235,13.11483,3.085742,229.88,DDX56,DEAD-box helicase 56
351,1.56E-38,2.73E-39,0.257,13.11421,3.372501,342.3,APP,amyloid beta precursor protein
5378,1.56E-38,2.74E-39,0.241,13.11391,3.154795,223.69,PMS1,"PMS1 homolog 1, mismatch repair system component"
196074,1.58E-38,2.78E-39,0.225,13.11293,2.953327,194.67,METTL15,methyltransferase like 15
7056,1.61E-38,2.83E-39,0.257,13.11153,3.373568,179.75,THBD,thrombomodulin
126917,1.63E-38,2.85E-39,0.222,13.11093,2.916372,328.18,IFFO2,intermediate filament family orphan 2
23598,1.64E-38,2.88E-39,0.221,13.1102,2.891107,203.64,PATZ1,POZ/BTB and AT hook containing zinc finger 1
55308,1.65E-38,2.89E-39,0.216,13.10977,2.836162,256.75,DDX19A,DEAD-box helicase 19A
27434,1.67E-38,2.94E-39,0.232,13.10865,3.040677,202.99,POLM,DNA polymerase mu
5550,1.69E-38,2.96E-39,0.196,13.10808,2.570223,296.54,PREP,prolyl endopeptidase
84108,1.70E-38,2.98E-39,0.304,13.10761,3.982023,157.35,PCGF6,polycomb group ring finger 6
1512,1.71E-38,3.01E-39,0.23,13.10686,3.017982,259.23,CTSH,cathepsin H
100216546,1.76E-38,3.09E-39,0.218,13.10478,2.859508,259.51,LINC01004,long intergenic non-protein coding RNA 1004
84450,1.76E-38,3.10E-39,0.205,13.10467,2.688211,232.79,ZNF512,zinc finger protein 512
145781,1.81E-38,3.18E-39,0.229,13.10262,3.006488,184.99,GCOM1,"GCOM1, MYZAP-POLR2M combined locus"
192286,1.81E-38,3.19E-39,0.359,13.10248,4.710014,93.8,HIGD2A,HIG1 hypoxia inducible domain family member 2A
9730,1.81E-38,3.19E-39,0.197,13.10245,2.587668,377.13,DCAF1,DDB1 and CUL4 associated factor 1
3621,1.83E-38,3.21E-39,0.221,13.10184,2.889161,212.27,ING1,inhibitor of growth family member 1
80004,1.95E-38,3.43E-39,0.208,13.09683,2.728253,270.11,ESRP2,epithelial splicing regulatory protein 2
58155,1.96E-38,3.44E-39,0.22,13.09673,2.88664,324.78,PTBP2,polypyrimidine tract binding protein 2
79991,2.10E-38,3.69E-39,0.214,13.09135,2.806214,273.38,STN1,STN1 subunit of CST complex
51131,2.12E-38,3.73E-39,0.267,13.09055,3.496086,133.83,PHF11,PHD finger protein 11
114294,2.21E-38,3.89E-39,0.29,13.08735,3.795286,321.32,LACTB,lactamase beta
11212,2.26E-38,3.97E-39,0.364,13.08576,4.767028,513.66,PLPBP,pyridoxal phosphate binding protein
65977,2.26E-38,3.98E-39,0.209,13.08563,2.740246,374.64,PLEKHA3,pleckstrin homology domain containing A3
23143,2.29E-38,4.03E-39,0.201,13.08474,2.634239,260.47,LRCH1,leucine rich repeats and calponin homology domain containing 1
2071,2.29E-38,4.03E-39,0.245,13.08463,3.199759,175.98,ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit"
27095,2.31E-38,4.07E-39,0.283,13.0839,3.70546,145.16,TRAPPC3,trafficking protein particle complex subunit 3
112268184,2.44E-38,4.30E-39,0.29,13.07977,3.792904,120.45,KPNB1-DT,KPNB1 divergent transcript
26073,2.50E-38,4.41E-39,0.222,13.07789,2.900961,201.24,POLDIP2,DNA polymerase delta interacting protein 2
23054,2.62E-38,4.61E-39,0.184,13.07446,2.405217,387.72,NCOA6,nuclear receptor coactivator 6
107984138,2.70E-38,4.75E-39,0.276,13.07215,3.612415,120.05,LOC107984138,replaced by ID 100506060
9575,2.70E-38,4.76E-39,0.218,13.07193,2.846428,285.56,CLOCK,clock circadian regulator
10424,2.74E-38,4.83E-39,0.268,13.07092,3.496582,148.74,PGRMC2,progesterone receptor membrane component 2
105371981,2.94E-38,5.17E-39,0.289,13.06565,3.771073,146.51,LOC105371981,uncharacterized LOC105371981
10296,2.96E-38,5.22E-39,0.229,13.06497,2.985868,323.93,MAEA,"macrophage erythroblast attacher, E3 ubiquitin ligase"
140687,3.02E-38,5.32E-39,0.262,13.06349,3.420092,139.41,GCNT7,glucosaminyl (N-acetyl) transferase family member 7
107986162,3.11E-38,5.48E-39,0.358,13.06125,4.679721,110.13,LOC107986162,uncharacterized LOC107986162
23197,3.22E-38,5.68E-39,0.234,13.05852,3.054548,222.21,FAF2,Fas associated factor family member 2
51283,3.26E-38,5.76E-39,0.245,13.05749,3.200401,165.82,BFAR,bifunctional apoptosis regulator
255812,3.31E-38,5.84E-39,0.24,13.05648,3.130826,334.58,SDHAP1,SDHA pseudogene 1
151050,3.32E-38,5.86E-39,0.215,13.05618,2.803473,399.64,KANSL1L,KAT8 regulatory NSL complex subunit 1 like
27314,3.32E-38,5.87E-39,0.232,13.0561,3.033743,291.05,RAB30,"RAB30, member RAS oncogene family"
100529251,3.45E-38,6.09E-39,0.381,13.05323,4.975741,103.33,CKLF-CMTM1,CKLF-CMTM1 readthrough
25984,3.53E-38,6.23E-39,0.298,13.05152,3.89281,259.15,KRT23,keratin 23
55347,3.67E-38,6.48E-39,0.291,13.04852,3.792109,115.35,ABHD10,"abhydrolase domain containing 10, depalmitoylase"
444,3.72E-38,6.58E-39,0.214,13.04735,2.793288,524.27,ASPH,aspartate beta-hydroxylase
10616,4.08E-38,7.21E-39,0.223,13.04042,2.912208,441.75,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1
23438,4.14E-38,7.31E-39,0.228,13.03934,2.975324,168.81,HARS2,"histidyl-tRNA synthetase 2, mitochondrial"
107985690,4.44E-38,7.85E-39,0.299,13.03387,3.902787,121.23,LOC107985690,replaced by ID 84636
57541,4.44E-38,7.85E-39,0.207,13.03386,2.699175,244.59,ZNF398,zinc finger protein 398
8707,4.67E-38,8.26E-39,0.288,13.03002,3.753413,121.78,B3GALT2,"beta-1,3-galactosyltransferase 2"
84971,4.71E-38,8.33E-39,0.241,13.0294,3.141738,157.59,ATG4D,autophagy related 4D cysteine peptidase
201895,4.74E-38,8.38E-39,0.21,13.02887,2.736416,295.62,SMIM14,small integral membrane protein 14
29058,5.21E-38,9.22E-39,0.232,13.02164,3.016671,277.99,TMEM230,transmembrane protein 230
283989,5.29E-38,9.36E-39,0.236,13.02044,3.066639,164.16,TSEN54,tRNA splicing endonuclease subunit 54
170958,5.31E-38,9.39E-39,0.23,13.02024,2.991204,244.99,ZNF525,zinc finger protein 525
6722,5.66E-38,1.00E-38,0.204,13.01523,2.654186,265.56,SRF,serum response factor
8976,5.97E-38,1.06E-38,0.243,13.01123,3.166864,172.53,WASL,WASP like actin nucleation promoting factor
401548,6.00E-38,1.06E-38,0.196,13.0108,2.552324,293.58,SNX30,sorting nexin family member 30
129607,6.15E-38,1.09E-38,0.296,13.00886,3.849704,240.11,CMPK2,cytidine/uridine monophosphate kinase 2
10922,6.26E-38,1.11E-38,0.233,13.0075,3.037176,167.35,FASTK,Fas activated serine/threonine kinase
23643,6.55E-38,1.16E-38,0.331,13.00406,4.301515,129.71,LY96,lymphocyte antigen 96
54431,6.61E-38,1.17E-38,0.199,13.00333,2.58844,600.46,DNAJC10,DnaJ heat shock protein family (Hsp40) member C10
55615,6.68E-38,1.18E-38,0.25,13.00255,3.246363,267.78,PRR5,proline rich 5
466,6.78E-38,1.20E-38,0.244,13.0014,3.176984,212.02,ATF1,activating transcription factor 1
4090,6.81E-38,1.21E-38,0.207,13.00106,2.689213,246.85,SMAD5,SMAD family member 5
54732,6.86E-38,1.22E-38,0.25,13.00047,3.253872,189.84,TMED9,transmembrane p24 trafficking protein 9
338799,6.89E-38,1.22E-38,0.288,13.00008,3.74342,137.9,LINC01089,long intergenic non-protein coding RNA 1089
3384,7.61E-38,1.35E-38,0.281,12.99245,3.648173,129.65,ICAM2,intercellular adhesion molecule 2
4724,7.66E-38,1.36E-38,0.289,12.99197,3.755272,140.37,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4
1059,7.68E-38,1.36E-38,0.228,12.99173,2.962268,205.23,CENPB,centromere protein B
54675,7.70E-38,1.37E-38,0.245,12.99155,3.177075,143.1,CRLS1,cardiolipin synthase 1
2992,7.77E-38,1.38E-38,0.281,12.99083,3.647955,207,GYG1,glycogenin 1
9577,8.06E-38,1.43E-38,0.228,12.98798,2.965643,183.26,BABAM2,BRISC and BRCA1 A complex member 2
64318,8.15E-38,1.45E-38,0.232,12.98712,3.011355,169.4,NOC3L,NOC3 like DNA replication regulator
51155,8.49E-38,1.51E-38,0.257,12.98399,3.333704,193.03,JPT1,Jupiter microtubule associated homolog 1
440275,8.51E-38,1.51E-38,0.214,12.98379,2.782211,275.21,EIF2AK4,eukaryotic translation initiation factor 2 alpha kinase 4
100131096,8.96E-38,1.59E-38,0.274,12.97989,3.558502,141.88,TNRC6C-AS1,replaced by ID 11322
400960,9.14E-38,1.62E-38,0.229,12.9783,2.977278,174.67,PCBP1-AS1,PCBP1 antisense RNA 1
26003,9.61E-38,1.71E-38,0.244,12.97449,3.166161,150.97,GORASP2,golgi reassembly stacking protein 2
28969,9.67E-38,1.72E-38,0.276,12.97401,3.580037,107.26,BZW2,basic leucine zipper and W2 domains 2
5871,1.01E-37,1.80E-38,0.194,12.9705,2.511558,405.66,MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2
51192,1.04E-37,1.84E-38,0.382,12.96868,4.952762,119.15,CKLF,chemokine like factor
102724364,1.06E-37,1.89E-38,0.206,12.9668,2.674206,240.51,SEC22B4P,"SEC22 homolog B4, pseudogene"
7504,1.08E-37,1.92E-38,0.329,12.96565,4.271783,537.23,XK,"X-linked Kx blood group antigen, Kell and VPS13A binding protein"
29990,1.08E-37,1.92E-38,0.278,12.96535,3.605888,126.46,PILRB,paired immunoglobin like type 2 receptor beta
25913,1.11E-37,1.97E-38,0.261,12.96365,3.387089,158.47,POT1,protection of telomeres 1
283687,1.12E-37,1.99E-38,0.288,12.96271,3.732075,133.55,ST20-AS1,ST20 antisense RNA 1
6240,1.14E-37,2.03E-38,0.224,12.96132,2.900393,182.95,RRM1,ribonucleotide reductase catalytic subunit M1
10670,1.23E-37,2.19E-38,0.318,12.95531,4.113517,107.19,RRAGA,Ras related GTP binding A
51263,1.23E-37,2.19E-38,0.224,12.95526,2.895989,222.83,MRPL30,mitochondrial ribosomal protein L30
101927817,1.24E-37,2.21E-38,0.255,12.95457,3.307824,135.38,LOC101927817,uncharacterized LOC101927817
55857,1.28E-37,2.27E-38,0.242,12.95256,3.130231,206.42,KIZ,kizuna centrosomal protein
84766,1.31E-37,2.34E-38,0.21,12.95041,2.723763,350.96,CRACR2A,calcium release activated channel regulator 2A
3298,1.32E-37,2.35E-38,0.285,12.95007,3.690808,154.06,HSF2,heat shock transcription factor 2
23309,1.39E-37,2.47E-38,0.217,12.94621,2.807093,272.48,SIN3B,SIN3 transcription regulator family member B
84928,1.39E-37,2.48E-38,0.242,12.94582,3.129772,203.76,TMEM209,transmembrane protein 209
54482,1.41E-37,2.51E-38,0.217,12.9448,2.810905,191.6,TRMT13,tRNA methyltransferase 13 homolog
23386,1.46E-37,2.60E-38,0.208,12.94234,2.691931,382.22,NUDCD3,NudC domain containing 3
4176,1.54E-37,2.74E-38,0.218,12.93811,2.824126,261.1,MCM7,minichromosome maintenance complex component 7
9655,1.55E-37,2.76E-38,0.278,12.93756,3.593684,140.25,SOCS5,suppressor of cytokine signaling 5
3493,1.58E-37,2.82E-38,0.348,12.9361,4.498443,182.15,IGHA1,immunoglobulin heavy constant alpha 1
7273,1.58E-37,2.82E-38,0.215,12.93588,2.786327,3612.6,TTN,titin
101928589,1.59E-37,2.83E-38,0.394,12.93571,5.096447,121.09,LOC101928589,replaced by ID 84187
123811,1.61E-37,2.87E-38,0.287,12.93469,3.716864,209.32,CEP20,centrosomal protein 20
55646,1.61E-37,2.87E-38,0.268,12.93452,3.462136,150.94,LYAR,Ly1 antibody reactive
8726,1.61E-37,2.88E-38,0.223,12.93434,2.882262,362.25,EED,embryonic ectoderm development
100189130,1.63E-37,2.90E-38,0.602,12.93376,7.782087,228.06,TRL-CAG2-1,tRNA-Leu (anticodon CAG) 2-1
729162,1.68E-37,3.01E-38,0.35,12.93107,4.523145,418.98,FAM239B,zinc finger protein 839 pseudogene
83888,1.69E-37,3.02E-38,0.44,12.93067,5.690635,284.05,FGFBP2,fibroblast growth factor binding protein 2
83990,1.70E-37,3.03E-38,0.235,12.93043,3.043866,457.22,BRIP1,BRCA1 interacting helicase 1
7024,1.73E-37,3.09E-38,0.223,12.92898,2.889509,200.39,TFCP2,transcription factor CP2
90780,1.73E-37,3.10E-38,0.232,12.92879,2.999457,173.86,PYGO2,pygopus family PHD finger 2
51692,1.74E-37,3.12E-38,0.233,12.92825,3.014225,165.74,CPSF3,cleavage and polyadenylation specific factor 3
51088,1.75E-37,3.14E-38,0.223,12.92782,2.887795,496.11,KLHL5,kelch like family member 5
55216,1.75E-37,3.14E-38,0.236,12.92777,3.056188,161.36,NKAPD1,NKAP domain containing 1
5631,1.82E-37,3.25E-38,0.309,12.92514,3.995894,147.42,PRPS1,phosphoribosyl pyrophosphate synthetase 1
641638,1.87E-37,3.34E-38,0.421,12.923,5.444528,102.7,SNHG6,small nucleolar RNA host gene 6
4261,1.87E-37,3.35E-38,0.21,12.92273,2.716652,1115.13,CIITA,class II major histocompatibility complex transactivator
23503,1.91E-37,3.42E-38,0.18,12.92124,2.325442,472.99,ZFYVE26,zinc finger FYVE-type containing 26
64236,1.93E-37,3.45E-38,0.195,12.92045,2.518606,305.66,PDLIM2,PDZ and LIM domain 2
100996541,2.00E-37,3.58E-38,0.264,12.91759,3.40616,185.14,FAM157C,family with sequence similarity 157 member C
64282,2.11E-37,3.78E-38,0.248,12.91341,3.20333,286.02,TENT4B,terminal nucleotidyltransferase 4B
1203,2.16E-37,3.86E-38,0.256,12.91182,3.307014,217,CLN5,CLN5 intracellular trafficking protein
51809,2.29E-37,4.10E-38,0.224,12.90715,2.887119,244.63,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7
51538,2.33E-37,4.17E-38,0.239,12.90595,3.090396,160.69,ZCCHC17,zinc finger CCHC-type containing 17
101410538,2.33E-37,4.18E-38,0.303,12.90566,3.905091,103.51,MMP24OS,MMP24 opposite strand
55159,2.34E-37,4.20E-38,0.203,12.90542,2.622661,280.33,RFWD3,ring finger and WD repeat domain 3
348995,2.45E-37,4.39E-38,0.195,12.90197,2.515265,302.95,NUP43,nucleoporin 43
5355,2.45E-37,4.39E-38,0.35,12.90198,4.518905,166.43,PLP2,proteolipid protein 2
130617,2.45E-37,4.39E-38,0.248,12.90188,3.201067,160.54,ZFAND2B,zinc finger AN1-type containing 2B
1662,2.46E-37,4.41E-38,0.238,12.90153,3.074683,172.17,DDX10,DEAD-box helicase 10
29777,2.49E-37,4.47E-38,0.243,12.9006,3.132194,143.94,ABT1,activator of basal transcription 1
79706,2.53E-37,4.54E-38,0.296,12.89932,3.82292,121.6,PRKRIP1,PRKR interacting protein 1
255520,2.57E-37,4.61E-38,0.209,12.89819,2.697972,219.55,ELMOD2,ELMO domain containing 2
107985656,2.57E-37,4.62E-38,0.276,12.89802,3.559998,283.63,LOC107985656,uncharacterized LOC107985656
80167,2.66E-37,4.77E-38,0.207,12.89559,2.663229,369.04,ABHD18,abhydrolase domain containing 18
1777,2.71E-37,4.86E-38,0.242,12.89412,3.124056,188.01,DNASE2,"deoxyribonuclease 2, lysosomal"
54504,2.79E-37,5.00E-38,0.255,12.89184,3.285734,407.87,CPVL,carboxypeptidase vitellogenic like
4725,2.94E-37,5.27E-38,0.312,12.88781,4.027148,119.66,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5
24149,3.00E-37,5.39E-38,0.22,12.88614,2.829691,364.32,ZNF318,zinc finger protein 318
84961,3.05E-37,5.48E-38,0.219,12.88488,2.82642,576.93,FBXL20,F-box and leucine rich repeat protein 20
286144,3.05E-37,5.49E-38,0.294,12.88474,3.788399,150.08,TRIQK,triple QxxK/R motif containing
91369,3.06E-37,5.50E-38,0.221,12.8846,2.84385,179.24,ANKRD40,ankyrin repeat domain 40
105378539,3.12E-37,5.60E-38,0.212,12.88315,2.73366,219.2,LOC105378539,
64116,3.26E-37,5.85E-38,0.233,12.87975,3.00036,256.81,SLC39A8,solute carrier family 39 member 8
50488,3.27E-37,5.87E-38,0.217,12.87951,2.79154,456.68,MINK1,misshapen like kinase 1
11056,3.27E-37,5.88E-38,0.223,12.87941,2.866806,269.19,DDX52,DExD-box helicase 52
221496,3.31E-37,5.96E-38,0.191,12.87836,2.461029,377.03,LEMD2,LEM domain nuclear envelope protein 2
246184,3.33E-37,5.99E-38,0.285,12.8779,3.675312,103.36,CDC26,cell division cycle 26
5090,3.38E-37,6.08E-38,0.23,12.87681,2.963369,168.8,PBX3,PBX homeobox 3
79709,3.50E-37,6.31E-38,0.232,12.87399,2.992215,301.7,COLGALT1,collagen beta(1-O)galactosyltransferase 1
100507507,3.55E-37,6.39E-38,0.309,12.87294,3.977304,94.03,FAM131B-AS2,FAM131B antisense RNA 2
84930,3.61E-37,6.51E-38,0.305,12.87157,3.923897,470.7,MASTL,microtubule associated serine/threonine kinase like
5701,3.81E-37,6.86E-38,0.245,12.86743,3.15623,205.78,PSMC2,"proteasome 26S subunit, ATPase 2"
102724827,3.95E-37,7.12E-38,0.275,12.86463,3.539961,124.95,MIATNB,MIAT neighbor
64784,3.96E-37,7.14E-38,0.195,12.86444,2.506717,326.57,CRTC3,CREB regulated transcription coactivator 3
8243,3.96E-37,7.14E-38,0.302,12.86441,3.882591,835.48,SMC1A,structural maintenance of chromosomes 1A
8233,4.00E-37,7.20E-38,0.292,12.86374,3.758603,250.13,ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2"
8019,4.23E-37,7.62E-38,0.208,12.85934,2.672564,242.96,BRD3,bromodomain containing 3
9361,4.38E-37,7.89E-38,0.235,12.85671,3.022681,252.23,LONP1,"lon peptidase 1, mitochondrial"
81567,4.41E-37,7.95E-38,0.265,12.85606,3.410234,136.88,TXNDC5,thioredoxin domain containing 5
4719,4.54E-37,8.19E-38,0.207,12.85379,2.664615,504.21,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1
10778,4.68E-37,8.44E-38,0.262,12.85142,3.369172,204.29,ZNF271P,"zinc finger protein 271, pseudogene"
30844,4.92E-37,8.87E-38,0.234,12.84762,3.000441,199.68,EHD4,EH domain containing 4
79813,5.03E-37,9.07E-38,0.17,12.84592,2.180331,570.05,EHMT1,euchromatic histone lysine methyltransferase 1
84844,5.04E-37,9.09E-38,0.31,12.84575,3.976907,107.34,PHF5A,PHD finger protein 5A
51691,5.10E-37,9.21E-38,0.253,12.84474,3.253124,283.04,LSM8,"LSM8 homolog, U6 small nuclear RNA associated"
9422,5.26E-37,9.49E-38,0.186,12.8424,2.387277,495.87,ZNF264,zinc finger protein 264
115352,5.34E-37,9.64E-38,0.258,12.84117,3.316526,352.62,FCRL3,Fc receptor like 3
10127,5.45E-37,9.83E-38,0.231,12.83965,2.972372,185.68,ZNF263,zinc finger protein 263
1196,5.49E-37,9.91E-38,0.232,12.83906,2.979997,186.04,CLK2,CDC like kinase 2
79685,5.57E-37,1.01E-37,0.234,12.83792,3.007795,209.32,SAP30L,SAP30 like
63971,5.85E-37,1.06E-37,0.243,12.83407,3.119159,560.52,KIF13A,kinesin family member 13A
2592,5.92E-37,1.07E-37,0.249,12.83311,3.193667,160.39,GALT,galactose-1-phosphate uridylyltransferase
100129387,5.94E-37,1.07E-37,0.258,12.83284,3.308622,133.15,GABPB1-AS1,GABPB1 antisense RNA 1
100302736,6.28E-37,1.13E-37,0.296,12.82857,3.791365,102.48,TMED7-TICAM2,TMED7-TICAM2 readthrough
347734,6.36E-37,1.15E-37,0.251,12.82754,3.219583,177,SLC35B2,solute carrier family 35 member B2
23635,7.01E-37,1.27E-37,0.219,12.81993,2.801761,331.03,SSBP2,single stranded DNA binding protein 2
5595,7.05E-37,1.28E-37,0.255,12.81951,3.262969,172.79,MAPK3,mitogen-activated protein kinase 3
100130357,7.05E-37,1.28E-37,0.267,12.8195,3.428112,192.15,LOC100130357,uncharacterized LOC100130357
203,7.08E-37,1.28E-37,0.236,12.8192,3.031645,297.43,AK1,adenylate kinase 1
4116,7.22E-37,1.31E-37,0.383,12.81768,4.905246,115.96,MAGOH,"mago homolog, exon junction complex subunit"
29933,7.65E-37,1.38E-37,0.242,12.81311,3.101407,228.4,GPR132,G protein-coupled receptor 132
84320,7.74E-37,1.40E-37,0.213,12.81222,2.733532,216.56,ACBD6,acyl-CoA binding domain containing 6
7163,7.74E-37,1.40E-37,0.272,12.81219,3.478537,176.61,TPD52,tumor protein D52
10476,7.87E-37,1.43E-37,0.34,12.81085,4.361645,142.99,ATP5PD,ATP synthase peripheral stalk subunit d
10766,7.92E-37,1.43E-37,0.193,12.81042,2.476749,294.74,TOB2,"transducer of ERBB2, 2"
29099,8.03E-37,1.45E-37,0.24,12.80932,3.071953,160.9,COMMD9,COMM domain containing 9
25875,8.19E-37,1.48E-37,0.198,12.80779,2.536539,247.59,LETMD1,LETM1 domain containing 1
977,8.42E-37,1.53E-37,0.254,12.80556,3.248137,125.14,CD151,CD151 molecule (Raph blood group)
643253,8.44E-37,1.53E-37,0.278,12.80538,3.563727,109.25,CCT6P1,chaperonin containing TCP1 subunit 6 pseudogene 1
7317,8.76E-37,1.59E-37,0.308,12.80252,3.937686,876.76,UBA1,ubiquitin like modifier activating enzyme 1
54498,9.09E-37,1.65E-37,0.248,12.79963,3.179173,235.14,SMOX,spermine oxidase
23293,9.21E-37,1.67E-37,0.174,12.79862,2.22288,494.92,SMG6,SMG6 nonsense mediated mRNA decay factor
105373511,9.40E-37,1.70E-37,0.288,12.79699,3.683372,107.29,LOC105373511,uncharacterized LOC105373511
83658,9.77E-37,1.77E-37,0.241,12.79394,3.083995,141.1,DYNLRB1,dynein light chain roadblock-type 1
9787,9.93E-37,1.80E-37,0.292,12.79268,3.739422,244.05,DLGAP5,DLG associated protein 5
1193,1.04E-36,1.88E-37,0.426,12.78934,5.445158,180.39,CLIC2,chloride intracellular channel 2
55726,1.05E-36,1.90E-37,0.255,12.78847,3.265711,154.85,INTS13,integrator complex subunit 13
84447,1.09E-36,1.99E-37,0.234,12.78511,2.9905,232.43,SYVN1,synoviolin 1
90338,1.15E-36,2.08E-37,0.21,12.78152,2.678143,346.95,ZNF160,zinc finger protein 160
10525,1.27E-36,2.30E-37,0.201,12.77356,2.568084,346.79,HYOU1,hypoxia up-regulated 1
91012,1.27E-36,2.31E-37,0.196,12.77331,2.50746,268.44,CERS5,ceramide synthase 5
84317,1.28E-36,2.32E-37,0.24,12.77308,3.066174,142.45,CCDC115,coiled-coil domain containing 115
3823,1.28E-36,2.33E-37,0.406,12.77279,5.181888,201.67,KLRC3,killer cell lectin like receptor C3
126321,1.28E-36,2.33E-37,0.248,12.77254,3.163967,259.07,MFSD12,major facilitator superfamily domain containing 12
256643,1.29E-36,2.34E-37,0.269,12.77225,3.429773,234.08,BCLAF3,BCLAF1 and THRAP3 family member 3
101735302,1.37E-36,2.49E-37,0.348,12.76748,4.442328,90.34,STAG3L5P,stromal antigen 3-like 5 pseudogene
55856,1.38E-36,2.51E-37,0.236,12.76675,3.017304,180.11,ACOT13,acyl-CoA thioesterase 13
57786,1.42E-36,2.58E-37,0.24,12.76474,3.060271,189.97,RBAK,RB associated KRAB zinc finger
92105,1.43E-36,2.59E-37,0.204,12.76434,2.602849,372.57,INTS4,integrator complex subunit 4
79073,1.47E-36,2.67E-37,0.227,12.76221,2.900904,172.21,TMEM109,transmembrane protein 109
4710,1.50E-36,2.73E-37,0.336,12.76044,4.290941,113.55,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4
6199,1.58E-36,2.87E-37,0.259,12.75645,3.304054,218.66,RPS6KB2,ribosomal protein S6 kinase B2
740,1.67E-36,3.04E-37,0.269,12.75193,3.43028,159.36,MRPL49,mitochondrial ribosomal protein L49
79039,1.73E-36,3.15E-37,0.201,12.74922,2.560944,241.41,DDX54,DEAD-box helicase 54
340252,1.79E-36,3.25E-37,0.221,12.74664,2.815734,182.85,ZNF680,zinc finger protein 680
5218,1.80E-36,3.27E-37,0.248,12.74617,3.158665,266.22,CDK14,cyclin dependent kinase 14
84246,1.89E-36,3.45E-37,0.337,12.7421,4.292212,102.68,MED10,mediator complex subunit 10
3692,1.91E-36,3.49E-37,0.242,12.74128,3.086245,141.36,EIF6,eukaryotic translation initiation factor 6
10863,2.10E-36,3.83E-37,0.262,12.734,3.342264,328.97,ADAM28,ADAM metallopeptidase domain 28
8317,2.18E-36,3.97E-37,0.262,12.73106,3.331442,144.25,CDC7,cell division cycle 7
112267965,2.26E-36,4.11E-37,0.252,12.72845,3.205509,135.44,LOC112267965,
3654,2.30E-36,4.20E-37,0.304,12.72681,3.862887,313.73,IRAK1,interleukin 1 receptor associated kinase 1
3003,2.43E-36,4.43E-37,0.356,12.72263,4.530126,191.78,GZMK,granzyme K
90120,2.47E-36,4.51E-37,0.24,12.7212,3.047863,170.86,TMEM250,transmembrane protein 250
6119,2.48E-36,4.53E-37,0.335,12.72084,4.258053,103.88,RPA3,replication protein A3
90488,2.52E-36,4.60E-37,0.238,12.71962,3.02494,159.02,TMEM263,transmembrane protein 263
22877,2.55E-36,4.66E-37,0.204,12.7187,2.594634,451.05,MLXIP,MLX interacting protein
